dist|perl-5.28.0.author|perl-5.28.0.distname|perl-5.28.0.distversion|perl-5.28.0.grade
Alien-CMake|PLICEASE|Alien-CMake-0.11|0.11|FAIL
Alien-ProtoBuf|MBARBON|Alien-ProtoBuf-0.06|0.06|PASS
Alien-SDL|FROGGS|Alien-SDL-1.446|1.446|FAIL
Alien-wxWidgets|MDOOTSON|Alien-wxWidgets-0.69|0.69|FAIL
App-perlbrew|GUGOD|App-perlbrew-0.83|0.83|FAIL
Astro-Coords|GSB|Astro-Coords-0.19|0.19|PASS
BSD-Sysctl|DLAND|BSD-Sysctl-0.11|0.11|FAIL
BerkeleyDB|PMQS|BerkeleyDB-0.55|0.55|FAIL
BioPerl-Run|CJFIELDS|BioPerl-Run-1.007002|1.007002|PASS
Bot-Training|FIBO|Bot-Training-0.06|0.06|FAIL
Business-CPI|ANDRE|Business-CPI-0.924|0.924|PASS
CGI-Application-Plugin-ViewCode|WONKO|CGI-Application-Plugin-ViewCode-1.02|1.02|FAIL
CPAN-Testers-Common-DBUtils|BARBIE|CPAN-Testers-Common-DBUtils-0.11|0.11|FAIL
CPP-panda-lib|RANDIR|CPP-panda-lib-1.1.3|1.1.3|FAIL
Catalyst-Controller-AutoAssets|VANSTYN|Catalyst-Controller-AutoAssets-0.40|0.40|PASS
Catalyst-Controller-SimpleCAS|VANSTYN|Catalyst-Controller-SimpleCAS-1.002|1.002|PASS
Catalyst-Plugin-Authorization-ACL|RKITOVER|Catalyst-Plugin-Authorization-ACL-0.16|0.16|PASS
Catalyst-Plugin-FormValidator-Simple|DHOSS|Catalyst-Plugin-FormValidator-Simple-0.15|0.15|PASS
Class-DBI-AsForm|TMTM|Class-DBI-AsForm-2.42|2.42|FAIL
Class-DBI-DATA-Schema|TMTM|Class-DBI-DATA-Schema-1.00|1.00|FAIL
Class-MakeMethods|EVO|Class-MakeMethods-1.01|1.01|FAIL
Class-Trait|OVID|Class-Trait-0.31|0.31|PASS
CouchDB-View|HDP|CouchDB-View-0.003|0.003|FAIL
Crypt-Sodium|MGREGORO|Crypt-Sodium-0.11|0.11|FAIL
DBIx-Schema-DSL|SONGMU|DBIx-Schema-DSL-0.12|0.12|PASS
DBIx-Skinny|NEKOKAK|DBIx-Skinny-0.0742|0.0742|FAIL
DJabberd|MART|DJabberd-0.85|0.85|FAIL
DOM-Tiny|MSTROUT|DOM-Tiny-0.005|0.005|PASS
Data-Decode|DMAKI|Data-Decode-0.00006|0.00006|FAIL
Data-Lazy|SAMV|Data-Lazy-0.6|0.6|PASS
Data-Paginator|GPHAT|Data-Paginator-0.08|0.08|PASS
Data-Password-Entropy|ZERO|Data-Password-Entropy-0.08|0.08|PASS
Data-Printer|GARU|Data-Printer-0.40|0.40|FAIL
Data-Record|OVID|Data-Record-0.02|0.02|PASS
Data-SimplePassword|RYOCHIN|Data-SimplePassword-0.11|0.11|PASS
Data-Swap|XMATH|Data-Swap-0.08|0.08|NA
Data-TemporaryBag|YSAS|Data-TemporaryBag-0.09|0.09|PASS
Datahub-Factory|NETSENSEI|Datahub-Factory-1.73|1.73|PASS
Date-Leapyear|RBOW|Date-Leapyear-1.72|1.72|PASS
DateTime-Format-CLDR|MAROS|DateTime-Format-CLDR-1.19|1.19|PASS
