dist|perl-5.29.4.author|perl-5.29.4.distname|perl-5.29.4.distversion|perl-5.29.4.grade
AAAA-Crypt-DH|BINGOS|AAAA-Crypt-DH-0.06|0.06|PASS
ARGV-Struct|JLMARTIN|ARGV-Struct-0.05|0.05|PASS
AWS-Signature4|LDS|AWS-Signature4-1.02|1.02|PASS
Acme-Damn|IBB|Acme-Damn-0.08|0.08|PASS
Adapter-Async|TEAM|Adapter-Async-0.019|0.019|PASS
Algorithm-Annotate|CLKAO|Algorithm-Annotate-0.10|0.10|PASS
Algorithm-C3|HAARG|Algorithm-C3-0.10|0.10|PASS
Algorithm-Combinatorics|FXN|Algorithm-Combinatorics-0.27|0.27|PASS
Algorithm-Dependency|ADAMK|Algorithm-Dependency-1.110|1.110|PASS
Algorithm-Diff|TYEMQ|Algorithm-Diff-1.1903|1.1903|PASS
Algorithm-Loops|TYEMQ|Algorithm-Loops-1.032|1.032|PASS
Algorithm-NeedlemanWunsch|VBAR|Algorithm-NeedlemanWunsch-0.04|0.04|PASS
Algorithm-Permute|SLOYD|Algorithm-Permute-0.16|0.16|PASS
Algorithm-TokenBucket|KAPPA|Algorithm-TokenBucket-0.38|0.38|PASS
Alien-Autotools|PLICEASE|Alien-Autotools-1.04|1.04|PASS
Alien-Base-ModuleBuild|PLICEASE|Alien-Base-ModuleBuild-1.05|1.05|PASS
Alien-Build|PLICEASE|Alien-Build-1.48|1.48|PASS
Alien-Build-Git|PLICEASE|Alien-Build-Git-0.07|0.07|PASS
Alien-CMake|PLICEASE|Alien-CMake-0.11|0.11|FAIL
Alien-FFI|PLICEASE|Alien-FFI-0.22|0.22|PASS
Alien-GMP|PLICEASE|Alien-GMP-1.14|1.14|PASS
Alien-Gnuplot|ZOWIE|Alien-Gnuplot-1.033|1.033|PASS
Alien-GvaScript|DAMI|Alien-GvaScript-1.45|1.45|PASS
Alien-HDF4|ETJ|Alien-HDF4-0.03|0.03|PASS
Alien-Hunspell|PLICEASE|Alien-Hunspell-0.11|0.11|PASS
Alien-PCRE2|WBRASWELL|Alien-PCRE2-0.015000|0.015000|PASS
Alien-ProtoBuf|MBARBON|Alien-ProtoBuf-0.07|0.07|PASS
Alien-Role-Dino|PLICEASE|Alien-Role-Dino-0.06|0.06|PASS
Alien-SDL|FROGGS|Alien-SDL-1.446|1.446|FAIL
Alien-SVN|MSCHWERN|Alien-SVN-v1.8.11.0|v1.8.11.0|PASS
Alien-Sodium|AJGB|Alien-Sodium-1.0.8.0|1.0.8.0|PASS
Alien-Web|VANSTYN|Alien-Web-1.1|1.1|PASS
Alien-Web-ExtJS-V3|VANSTYN|Alien-Web-ExtJS-V3-3.4.11|3.4.11|PASS
Alien-autoconf|PLICEASE|Alien-autoconf-0.14|0.14|PASS
Alien-automake|PLICEASE|Alien-automake-0.14|0.14|PASS
Alien-cmake3|PLICEASE|Alien-cmake3-0.04|0.04|PASS
Alien-gmake|PLICEASE|Alien-gmake-0.21|0.21|PASS
Alien-libtermkey|PEVANS|Alien-libtermkey-0.19|0.19|PASS
Alien-libtool|PLICEASE|Alien-libtool-0.11|0.11|PASS
Alien-m4|PLICEASE|Alien-m4-0.17|0.17|PASS
Alien-unibilium|PEVANS|Alien-unibilium-0.13|0.13|PASS
Alien-wxWidgets|MDOOTSON|Alien-wxWidgets-0.69|0.69|FAIL
Amon2|TOKUHIROM|Amon2-6.13|6.13|PASS
Any-Moose|ETHER|Any-Moose-0.27|0.27|PASS
Any-URI-Escape|PHRED|Any-URI-Escape-0.01|0.01|PASS
AnyData|REHSACK|AnyData-0.12|0.12|PASS
AnyEvent|MLEHMANN|AnyEvent-7.14|7.14|PASS
AnyEvent-CacheDNS|POTYL|AnyEvent-CacheDNS-0.08|0.08|PASS
AnyEvent-Connector|TOSHIOITO|AnyEvent-Connector-0.03|0.03|PASS
AnyEvent-DBI|MLEHMANN|AnyEvent-DBI-3.04|3.04|PASS
AnyEvent-Fork|MLEHMANN|AnyEvent-Fork-1.31|1.31|PASS
AnyEvent-HTTP|MLEHMANN|AnyEvent-HTTP-2.24|2.24|PASS
AnyEvent-HTTPD|ELMEX|AnyEvent-HTTPD-0.93|0.93|PASS
AnyEvent-Handle-UDP|LEONT|AnyEvent-Handle-UDP-0.049|0.049|PASS
AnyEvent-IRC|ELMEX|AnyEvent-IRC-0.97|0.97|PASS
AnyEvent-RabbitMQ|DLAMBLEY|AnyEvent-RabbitMQ-1.19|1.19|PASS
AnyEvent-ReadLine-Gnu|MLEHMANN|AnyEvent-ReadLine-Gnu-1.1|1.1|PASS
AnyEvent-Redis|DGL|AnyEvent-Redis-0.24|0.24|PASS
AnyEvent-Twitter-Stream|MIYAGAWA|AnyEvent-Twitter-Stream-0.28|0.28|PASS
AnyEvent-WebSocket-Client|PLICEASE|AnyEvent-WebSocket-Client-0.49|0.49|PASS
AnyMQ|CLKAO|AnyMQ-0.35|0.35|PASS
Apache-LogFormat-Compiler|KAZEBURO|Apache-LogFormat-Compiler-0.35|0.35|PASS
App-Addex|RJBS|App-Addex-0.026|0.026|PASS
App-CLI|PTC|App-CLI-0.50|0.50|PASS
App-CPANTS-Lint|ISHIGAKI|App-CPANTS-Lint-0.05|0.05|PASS
App-Cache|LBROCARD|App-Cache-0.37|0.37|PASS
App-Cmd|RJBS|App-Cmd-0.331|0.331|PASS
App-Cmd-Plugin-Prompt|RJBS|App-Cmd-Plugin-Prompt-1.005|1.005|PASS
App-Environ|IPH|App-Environ-0.22|0.22|PASS
App-FatPacker|MSTROUT|App-FatPacker-0.010007|0.010007|PASS
App-GitHooks|AUBERTG|App-GitHooks-v1.9.0|v1.9.0|PASS
App-Nopaste|ETHER|App-Nopaste-1.012|1.012|PASS
App-Options|SPADKINS|App-Options-1.12|1.12|PASS
App-Packager|JV|App-Packager-1.430|1.430|PASS
App-Rad|GARU|App-Rad-1.05|1.05|PASS
App-SmokeBox-PerlVersion|BINGOS|App-SmokeBox-PerlVersion-0.16|0.16|PASS
App-TimeTracker|DOMM|App-TimeTracker-2.025|2.025|PASS
App-Uni|RJBS|App-Uni-9.003|9.003|PASS
App-bmkpasswd|AVENJ|App-bmkpasswd-2.012002|2.012002|PASS
App-cpanminus|MIYAGAWA|App-cpanminus-1.7044|1.7044|PASS
App-cpanminus-reporter|GARU|App-cpanminus-reporter-0.17|0.17|PASS
App-perlbrew|GUGOD|App-perlbrew-0.84|0.84|PASS
App-whichpm|JKUTEJ|App-whichpm-0.05|0.05|PASS
AppConfig|NEILB|AppConfig-1.71|1.71|PASS
Applify|JHTHORSEN|Applify-0.15|0.15|PASS
Archive-Any|OALDERS|Archive-Any-0.0945|0.0945|PASS
Archive-Any-Create|MIYAGAWA|Archive-Any-Create-0.03|0.03|PASS
Archive-Any-Lite|ISHIGAKI|Archive-Any-Lite-0.11|0.11|PASS
Archive-Extract|BINGOS|Archive-Extract-0.80|0.80|PASS
Archive-Peek|LBROCARD|Archive-Peek-0.35|0.35|PASS
Archive-Tar-Wrapper|ARFREITAS|Archive-Tar-Wrapper-0.33|0.33|PASS
Archive-Zip|PHRED|Archive-Zip-1.64|1.64|PASS
Array-Compare|DAVECROSS|Array-Compare-v3.0.1|v3.0.1|PASS
