dist|perl-5.31.0.author|perl-5.31.0.distname|perl-5.31.0.distversion|perl-5.31.0.grade|perl-5.31.1.author|perl-5.31.1.distname|perl-5.31.1.distversion|perl-5.31.1.grade
AAAA-Crypt-DH|BINGOS|AAAA-Crypt-DH-0.06|0.06|PASS|BINGOS|AAAA-Crypt-DH-0.06|0.06|PASS
ARGV-Struct|JLMARTIN|ARGV-Struct-0.06|0.06|PASS|JLMARTIN|ARGV-Struct-0.06|0.06|PASS
AWS-CLIWrapper|HIROSE|AWS-CLIWrapper-1.17|1.17|PASS|HIROSE|AWS-CLIWrapper-1.17|1.17|PASS
AWS-Signature4|LDS|AWS-Signature4-1.02|1.02|PASS|LDS|AWS-Signature4-1.02|1.02|PASS
Abstract-Meta-Class|ADRIANWIT|Abstract-Meta-Class-0.11|0.11|PASS|ADRIANWIT|Abstract-Meta-Class-0.11|0.11|PASS
Acme-AsciiEmoji|LNATION|Acme-AsciiEmoji-0.11|0.11|PASS|LNATION|Acme-AsciiEmoji-0.11|0.11|PASS
Acme-Damn|IBB|Acme-Damn-0.08|0.08|PASS|IBB|Acme-Damn-0.08|0.08|PASS
Adapter-Async|TEAM|Adapter-Async-0.019|0.019|PASS|TEAM|Adapter-Async-0.019|0.019|PASS
Algorithm-Annotate|CLKAO|Algorithm-Annotate-0.10|0.10|PASS|CLKAO|Algorithm-Annotate-0.10|0.10|PASS
Algorithm-C3|HAARG|Algorithm-C3-0.10|0.10|PASS|HAARG|Algorithm-C3-0.10|0.10|PASS
Algorithm-CheckDigits|MAMAWE|Algorithm-CheckDigits-v1.3.2|v1.3.2|PASS|MAMAWE|Algorithm-CheckDigits-v1.3.2|v1.3.2|PASS
Algorithm-Combinatorics|FXN|Algorithm-Combinatorics-0.27|0.27|PASS|FXN|Algorithm-Combinatorics-0.27|0.27|PASS
Algorithm-Dependency|ETHER|Algorithm-Dependency-1.111|1.111|PASS|ETHER|Algorithm-Dependency-1.111|1.111|PASS
Algorithm-Diff|TYEMQ|Algorithm-Diff-1.1903|1.1903|PASS|TYEMQ|Algorithm-Diff-1.1903|1.1903|PASS
Algorithm-Loops|TYEMQ|Algorithm-Loops-1.032|1.032|PASS|TYEMQ|Algorithm-Loops-1.032|1.032|PASS
Algorithm-NeedlemanWunsch|VBAR|Algorithm-NeedlemanWunsch-0.04|0.04|PASS|VBAR|Algorithm-NeedlemanWunsch-0.04|0.04|PASS
Algorithm-Permute|SLOYD|Algorithm-Permute-0.16|0.16|PASS|SLOYD|Algorithm-Permute-0.16|0.16|PASS
Algorithm-TokenBucket|KAPPA|Algorithm-TokenBucket-0.38|0.38|PASS|KAPPA|Algorithm-TokenBucket-0.38|0.38|PASS
Alien-Autotools|PLICEASE|Alien-Autotools-1.04|1.04|PASS|PLICEASE|Alien-Autotools-1.04|1.04|PASS
Alien-Base-ModuleBuild|PLICEASE|Alien-Base-ModuleBuild-1.06|1.06|PASS|PLICEASE|Alien-Base-ModuleBuild-1.06|1.06|PASS
Alien-Build|PLICEASE|Alien-Build-1.78|1.78|PASS|PLICEASE|Alien-Build-1.78|1.78|PASS
Alien-Build-Git|PLICEASE|Alien-Build-Git-0.08|0.08|PASS|PLICEASE|Alien-Build-Git-0.08|0.08|PASS
Alien-Build-Plugin-Cleanse-BuildDir|SLAFFAN|Alien-Build-Plugin-Cleanse-BuildDir-0.05|0.05|PASS|SLAFFAN|Alien-Build-Plugin-Cleanse-BuildDir-0.05|0.05|PASS
Alien-GMP|PLICEASE|Alien-GMP-1.14|1.14|PASS|PLICEASE|Alien-GMP-1.14|1.14|PASS
Alien-GSL|JBERGER|Alien-GSL-1.01|1.01|PASS|JBERGER|Alien-GSL-1.01|1.01|PASS
Alien-Gnuplot|ZOWIE|Alien-Gnuplot-1.033|1.033|PASS|ZOWIE|Alien-Gnuplot-1.033|1.033|PASS
Alien-GvaScript|DAMI|Alien-GvaScript-1.45|1.45|PASS|DAMI|Alien-GvaScript-1.45|1.45|PASS
Alien-Hunspell|PLICEASE|Alien-Hunspell-0.11|0.11|PASS|PLICEASE|Alien-Hunspell-0.11|0.11|PASS
Alien-Libxml2|PLICEASE|Alien-Libxml2-0.09|0.09|PASS|PLICEASE|Alien-Libxml2-0.09|0.09|PASS
Alien-MSYS|PLICEASE|Alien-MSYS-0.09|0.09|PASS|PLICEASE|Alien-MSYS-0.09|0.09|PASS
Alien-ProtoBuf|MBARBON|Alien-ProtoBuf-0.08|0.08|PASS|MBARBON|Alien-ProtoBuf-0.08|0.08|PASS
Alien-Role-Dino|PLICEASE|Alien-Role-Dino-0.06|0.06|PASS|PLICEASE|Alien-Role-Dino-0.06|0.06|PASS
Alien-SDL|FROGGS|Alien-SDL-1.446|1.446|FAIL|FROGGS|Alien-SDL-1.446|1.446|FAIL
Alien-SVN|MSCHWERN|Alien-SVN-v1.8.11.0|v1.8.11.0|PASS|MSCHWERN|Alien-SVN-v1.8.11.0|v1.8.11.0|PASS
Alien-Sodium|AJGB|Alien-Sodium-1.0.8.0|1.0.8.0|PASS|AJGB|Alien-Sodium-1.0.8.0|1.0.8.0|PASS
Alien-TidyHTML5|RRWO|Alien-TidyHTML5-v0.3.0|v0.3.0|PASS|RRWO|Alien-TidyHTML5-v0.3.0|v0.3.0|PASS
Alien-Web|VANSTYN|Alien-Web-1.1|1.1|PASS|VANSTYN|Alien-Web-1.1|1.1|PASS
Alien-Web-ExtJS-V3|VANSTYN|Alien-Web-ExtJS-V3-3.4.11|3.4.11|PASS|VANSTYN|Alien-Web-ExtJS-V3-3.4.11|3.4.11|PASS
Alien-autoconf|PLICEASE|Alien-autoconf-0.14|0.14|PASS|PLICEASE|Alien-autoconf-0.14|0.14|PASS
Alien-automake|PLICEASE|Alien-automake-0.14|0.14|PASS|PLICEASE|Alien-automake-0.14|0.14|PASS
Alien-cmake3|PLICEASE|Alien-cmake3-0.04|0.04|PASS|PLICEASE|Alien-cmake3-0.04|0.04|PASS
Alien-gmake|PLICEASE|Alien-gmake-0.21|0.21|PASS|PLICEASE|Alien-gmake-0.21|0.21|PASS
Alien-libtickit|PEVANS|Alien-libtickit-0.06|0.06|NA|PEVANS|Alien-libtickit-0.06|0.06|NA
Alien-libtool|PLICEASE|Alien-libtool-0.12|0.12|PASS|PLICEASE|Alien-libtool-0.12|0.12|PASS
Alien-m4|PLICEASE|Alien-m4-0.17|0.17|PASS|PLICEASE|Alien-m4-0.17|0.17|PASS
AlignDB-IntSpan|WANGQ|AlignDB-IntSpan-1.1.1|1.1.1|PASS|WANGQ|AlignDB-IntSpan-1.1.1|1.1.1|PASS
Amon2|TOKUHIROM|Amon2-6.13|6.13|PASS|TOKUHIROM|Amon2-6.13|6.13|PASS
Any-Moose|ETHER|Any-Moose-0.27|0.27|PASS|ETHER|Any-Moose-0.27|0.27|PASS
Any-URI-Escape|PHRED|Any-URI-Escape-0.01|0.01|PASS|PHRED|Any-URI-Escape-0.01|0.01|PASS
AnyEvent|MLEHMANN|AnyEvent-7.15|7.15|FAIL|MLEHMANN|AnyEvent-7.15|7.15|FAIL
AnyEvent-HTTP|MLEHMANN|AnyEvent-HTTP-2.24|2.24|PASS|MLEHMANN|AnyEvent-HTTP-2.24|2.24|PASS
Apache-LogFormat-Compiler|KAZEBURO|Apache-LogFormat-Compiler-0.35|0.35|PASS|KAZEBURO|Apache-LogFormat-Compiler-0.35|0.35|PASS
App-Addex|RJBS|App-Addex-0.026|0.026|PASS|RJBS|App-Addex-0.026|0.026|PASS
App-CELL|SMITHFARM|App-CELL-0.222|0.222|PASS|SMITHFARM|App-CELL-0.222|0.222|PASS
App-CLI|PTC|App-CLI-0.50|0.50|PASS|PTC|App-CLI-0.50|0.50|PASS
App-CPANTS-Lint|ISHIGAKI|App-CPANTS-Lint-0.05|0.05|PASS|ISHIGAKI|App-CPANTS-Lint-0.05|0.05|PASS
App-Cache|LBROCARD|App-Cache-0.37|0.37|PASS|LBROCARD|App-Cache-0.37|0.37|PASS
App-Cmd|RJBS|App-Cmd-0.331|0.331|PASS|RJBS|App-Cmd-0.331|0.331|PASS
App-Cmd-Plugin-Prompt|RJBS|App-Cmd-Plugin-Prompt-1.005|1.005|PASS|RJBS|App-Cmd-Plugin-Prompt-1.005|1.005|PASS
App-FatPacker|MSTROUT|App-FatPacker-0.010008|0.010008|PASS|MSTROUT|App-FatPacker-0.010008|0.010008|PASS
App-Git-Workflow|IVANWILLS|App-Git-Workflow-v1.1.4|v1.1.4|PASS|IVANWILLS|App-Git-Workflow-v1.1.4|v1.1.4|PASS
App-GitHooks|AUBERTG|App-GitHooks-v1.9.0|v1.9.0|PASS|AUBERTG|App-GitHooks-v1.9.0|v1.9.0|PASS
App-Nopaste|ETHER|App-Nopaste-1.012|1.012|PASS|ETHER|App-Nopaste-1.012|1.012|PASS
App-Options|SPADKINS|App-Options-1.12|1.12|PASS|SPADKINS|App-Options-1.12|1.12|PASS
App-Packager|JV|App-Packager-1.430|1.430|PASS|JV|App-Packager-1.430|1.430|PASS
App-Rad|GARU|App-Rad-1.05|1.05|PASS|GARU|App-Rad-1.05|1.05|PASS
App-SmokeBox-PerlVersion|BINGOS|App-SmokeBox-PerlVersion-0.16|0.16|PASS|BINGOS|App-SmokeBox-PerlVersion-0.16|0.16|PASS
App-TimeTracker|DOMM|App-TimeTracker-3.000|3.000|PASS|DOMM|App-TimeTracker-3.000|3.000|PASS
App-Uni|RJBS|App-Uni-9.003|9.003|PASS|RJBS|App-Uni-9.003|9.003|PASS
App-bmkpasswd|AVENJ|App-bmkpasswd-2.012002|2.012002|PASS|AVENJ|App-bmkpasswd-2.012002|2.012002|PASS
App-cpanminus|||||MIYAGAWA|App-cpanminus-1.7044|1.7044|PASS
App-cpanminus-reporter|GARU|App-cpanminus-reporter-0.17|0.17|PASS|GARU|App-cpanminus-reporter-0.17|0.17|PASS
App-cpm|SKAJI|App-cpm-0.980|0.980|PASS|SKAJI|App-cpm-0.980|0.980|PASS
App-perlbrew|GUGOD|App-perlbrew-0.86|0.86|PASS|GUGOD|App-perlbrew-0.86|0.86|PASS
App-whichpm|JKUTEJ|App-whichpm-0.05|0.05|PASS|JKUTEJ|App-whichpm-0.05|0.05|PASS
AppConfig|NEILB|AppConfig-1.71|1.71|PASS|NEILB|AppConfig-1.71|1.71|PASS
Applify|JHTHORSEN|Applify-0.15|0.15|PASS|JHTHORSEN|Applify-0.15|0.15|PASS
Archive-Any|OALDERS|Archive-Any-0.0946|0.0946|PASS|OALDERS|Archive-Any-0.0946|0.0946|PASS
Archive-Any-Create|MIYAGAWA|Archive-Any-Create-0.03|0.03|PASS|MIYAGAWA|Archive-Any-Create-0.03|0.03|PASS
Archive-Any-Lite|ISHIGAKI|Archive-Any-Lite-0.11|0.11|PASS|ISHIGAKI|Archive-Any-Lite-0.11|0.11|PASS
Archive-Extract|BINGOS|Archive-Extract-0.80|0.80|PASS|BINGOS|Archive-Extract-0.80|0.80|PASS
Archive-Peek|LBROCARD|Archive-Peek-0.35|0.35|PASS|LBROCARD|Archive-Peek-0.35|0.35|PASS
Archive-Tar-Wrapper|ARFREITAS|Archive-Tar-Wrapper-0.36|0.36|PASS|ARFREITAS|Archive-Tar-Wrapper-0.36|0.36|PASS
Archive-Zip|PHRED|Archive-Zip-1.64|1.64|PASS|PHRED|Archive-Zip-1.64|1.64|PASS
Array-Compare|DAVECROSS|Array-Compare-v3.0.2|v3.0.2|PASS|DAVECROSS|Array-Compare-v3.0.2|v3.0.2|PASS
Array-Diff|NEILB|Array-Diff-0.09|0.09|PASS|NEILB|Array-Diff-0.09|0.09|PASS
Array-Group|ACCARDO|Array-Group-4.2|4.2|PASS|ACCARDO|Array-Group-4.2|4.2|PASS
Array-Iterator|SHARYANTO|Array-Iterator-0.11|0.11|PASS|SHARYANTO|Array-Iterator-0.11|0.11|PASS
Array-RefElem|GAAS|Array-RefElem-1.00|1.00|PASS|GAAS|Array-RefElem-1.00|1.00|PASS
Array-Unique|SZABGAB|Array-Unique-0.08|0.08|PASS|SZABGAB|Array-Unique-0.08|0.08|PASS
Array-Utils|ZMIJ|Array-Utils-0.5|0.5|PASS|ZMIJ|Array-Utils-0.5|0.5|PASS
Aspect|ADAMK|Aspect-1.04|1.04|PASS|ADAMK|Aspect-1.04|1.04|PASS
Assert-Refute|KHEDIN|Assert-Refute-0.17|0.17|PASS|KHEDIN|Assert-Refute-0.17|0.17|PASS
Astro-Coords|GSB|Astro-Coords-0.19|0.19|PASS|GSB|Astro-Coords-0.19|0.19|PASS
Astro-FITS-Header|TJENNESS|Astro-FITS-Header-3.07|3.07|PASS|TJENNESS|Astro-FITS-Header-3.07|3.07|PASS
Astro-PAL|TJENNESS|Astro-PAL-1.07|1.07|PASS|TJENNESS|Astro-PAL-1.07|1.07|PASS
Astro-Telescope|TJENNESS|Astro-Telescope-0.71|0.71|PASS|TJENNESS|Astro-Telescope-0.71|0.71|PASS
Astro-satpass|WYANT|Astro-satpass-0.106|0.106|PASS|WYANT|Astro-satpass-0.106|0.106|PASS
Attean|GWILLIAMS|Attean-0.023|0.023|PASS|GWILLIAMS|Attean-0.023|0.023|PASS
Attribute-Util|DANKOGAI|Attribute-Util-1.07|1.07|PASS|DANKOGAI|Attribute-Util-1.07|1.07|PASS
Audio-FLAC-Header|DANIEL|Audio-FLAC-Header-2.4|2.4|PASS|DANIEL|Audio-FLAC-Header-2.4|2.4|PASS
Audio-MPD-Common|JQUELIN|Audio-MPD-Common-2.003|2.003|PASS|JQUELIN|Audio-MPD-Common-2.003|2.003|PASS
Audio-Wav|BRIANSKI|Audio-Wav-0.14|0.14|PASS|BRIANSKI|Audio-Wav-0.14|0.14|PASS
AudioFile-Info|DAVECROSS|AudioFile-Info-v1.10.3|v1.10.3|PASS|DAVECROSS|AudioFile-Info-v1.10.3|v1.10.3|PASS
Authen-CAS-Client|PRAVUS|Authen-CAS-Client-0.08|0.08|PASS|PRAVUS|Authen-CAS-Client-0.08|0.08|PASS
Authen-DecHpwd|ZEFRAM|Authen-DecHpwd-2.007|2.007|PASS|ZEFRAM|Authen-DecHpwd-2.007|2.007|PASS
Authen-Htpasswd|MSTROUT|Authen-Htpasswd-0.171|0.171|PASS|MSTROUT|Authen-Htpasswd-0.171|0.171|PASS
Authen-Passphrase|ZEFRAM|Authen-Passphrase-0.008|0.008|PASS|ZEFRAM|Authen-Passphrase-0.008|0.008|PASS
Authen-SASL|GBARR|Authen-SASL-2.16|2.16|PASS|GBARR|Authen-SASL-2.16|2.16|PASS
Authen-SASL-SASLprep|CFAERBER|Authen-SASL-SASLprep-1.100|1.100|PASS|CFAERBER|Authen-SASL-SASLprep-1.100|1.100|PASS
Authen-SCRAM|DAGOLDEN|Authen-SCRAM-0.011|0.011|PASS|DAGOLDEN|Authen-SCRAM-0.011|0.011|PASS
Authen-Simple|CHANSEN|Authen-Simple-0.5|0.5|PASS|CHANSEN|Authen-Simple-0.5|0.5|PASS
Authen-Simple-Passwd|CHANSEN|Authen-Simple-Passwd-0.6|0.6|PASS|CHANSEN|Authen-Simple-Passwd-0.6|0.6|PASS
Autoload-AUTOCAN|DBOOK|Autoload-AUTOCAN-0.005|0.005|PASS|DBOOK|Autoload-AUTOCAN-0.005|0.005|PASS
B-CallChecker|ZEFRAM|B-CallChecker-0.001|0.001|PASS|ZEFRAM|B-CallChecker-0.001|0.001|PASS
B-Compiling|FLORA|B-Compiling-0.06|0.06|PASS|FLORA|B-Compiling-0.06|0.06|PASS
B-Debug|RURBAN|B-Debug-1.26|1.26|PASS|RURBAN|B-Debug-1.26|1.26|PASS
B-Flags|RURBAN|B-Flags-0.17|0.17|PASS|RURBAN|B-Flags-0.17|0.17|PASS
B-Generate|RURBAN|B-Generate-1.56|1.56|PASS|RURBAN|B-Generate-1.56|1.56|PASS
B-Hooks-AtRuntime|BMORROW|B-Hooks-AtRuntime-6|6|PASS|BMORROW|B-Hooks-AtRuntime-6|6|PASS
B-Hooks-EndOfScope|ETHER|B-Hooks-EndOfScope-0.24|0.24|PASS|ETHER|B-Hooks-EndOfScope-0.24|0.24|PASS
B-Hooks-OP-Annotation|CHOCOLATE|B-Hooks-OP-Annotation-0.44|0.44|PASS|CHOCOLATE|B-Hooks-OP-Annotation-0.44|0.44|PASS
B-Hooks-OP-Check|ETHER|B-Hooks-OP-Check-0.22|0.22|PASS|ETHER|B-Hooks-OP-Check-0.22|0.22|PASS
